    67/499     1.44G   0.03762   0.03582         0   0.07344        25       416    0.6761     0.832    0.8496     0.538   0.04021   0.01574         0
    68/499     1.44G   0.03707   0.03525         0   0.07232        29       416    0.6791     0.845    0.8529    0.5393   0.04038   0.01568         0
    69/499     1.44G   0.03702   0.03527         0   0.07229        37       416    0.6777    0.8346    0.8494    0.5434   0.04022   0.01568         0
    70/499     1.44G   0.03725   0.03529         0   0.07254        33       416     0.676     0.832    0.8511    0.5421   0.04024   0.01557         0
    71/499     1.44G   0.03689     0.035         0   0.07189        25       416    0.6747    0.8398    0.8504    0.5411   0.04023   0.01555         0
    72/499     1.44G   0.03724   0.03489         0   0.07213        43       416    0.6568    0.8424    0.8532    0.5416   0.03972   0.01549         0
    73/499     1.44G   0.03683   0.03517         0     0.072        38       416    0.6671     0.845    0.8559    0.5442   0.03937   0.01542         0
    74/499     1.44G   0.03716   0.03511         0   0.07228        39       416    0.6699    0.8527    0.8605    0.5446   0.03913   0.01538         0
    75/499     1.44G   0.03672   0.03522         0   0.07194        52       416    0.6708    0.8553    0.8592    0.5466   0.03905   0.01536         0
    76/499     1.44G   0.03674   0.03507         0   0.07181        32       416    0.6621    0.8424    0.8521    0.5472   0.03919   0.01542         0
    77/499     1.44G   0.03665   0.03533         0   0.07197        41       416    0.6677    0.8372    0.8563     0.546   0.03949   0.01545         0
    78/499     1.44G   0.03645   0.03465         0    0.0711        37       416      0.67    0.8398    0.8586    0.5479   0.03958   0.01549         0
    79/499     1.44G   0.03631   0.03462         0   0.07093        43       416    0.6852     0.845    0.8604    0.5471   0.03961   0.01547         0
    80/499     1.44G   0.03629   0.03441         0    0.0707        29       416    0.6748    0.8553    0.8633    0.5438   0.03955   0.01544         0
    81/499     1.44G   0.03608   0.03468         0   0.07076        26       416    0.6796    0.8475    0.8576    0.5473   0.03948   0.01538         0
    82/499     1.44G   0.03627   0.03478         0   0.07105        36       416    0.6779    0.8527    0.8582    0.5497   0.03913   0.01537         0
    83/499     1.44G   0.03607    0.0349         0   0.07097        40       416    0.6769    0.8552     0.858    0.5534   0.03895   0.01529         0
    84/499     1.44G   0.03592   0.03455         0   0.07047        27       416    0.6692    0.8501    0.8609    0.5568    0.0388   0.01517         0
    85/499     1.44G    0.0361   0.03447         0   0.07057        33       416     0.675    0.8553    0.8627    0.5593   0.03868    0.0151         0
    86/499     1.44G   0.03571   0.03427         0   0.06998        27       416    0.6664    0.8516    0.8665    0.5596   0.03865   0.01504         0
    87/499     1.44G   0.03565   0.03408         0   0.06972        37       416    0.6675    0.8605    0.8649    0.5622   0.03857   0.01497         0
    88/499     1.44G   0.03578   0.03445         0   0.07023        39       416    0.6878     0.863    0.8664     0.563   0.03856   0.01491         0
    89/499     1.44G   0.03555   0.03442         0   0.06998        42       416    0.6919    0.8605    0.8683    0.5639   0.03858   0.01486         0
    90/499     1.44G   0.03541   0.03408         0   0.06949        31       416    0.6886    0.8553    0.8675    0.5631   0.03865   0.01484         0
    91/499     1.44G   0.03541   0.03397         0   0.06938        30       416    0.6873    0.8553    0.8683    0.5627   0.03864   0.01483         0
    92/499     1.44G    0.0353   0.03433         0   0.06963        39       416    0.6906    0.8605    0.8734     0.562   0.03853    0.0148         0
    93/499     1.44G   0.03541   0.03397         0   0.06938        27       416    0.6826    0.8605    0.8754    0.5646   0.03838   0.01478         0
    94/499     1.44G   0.03528   0.03394         0   0.06922        33       416     0.689    0.8579    0.8717    0.5657   0.03829   0.01476         0
    95/499     1.44G   0.03518   0.03418         0   0.06936        42       416    0.6939     0.863    0.8725    0.5713   0.03821   0.01474         0
    96/499     1.44G   0.03517   0.03371         0   0.06887        38       416    0.6954    0.8614    0.8721     0.573   0.03818   0.01471         0
    97/499     1.44G   0.03458   0.03386         0   0.06844        35       416    0.7023     0.863    0.8725    0.5736   0.03814   0.01471         0
    98/499     1.44G   0.03453   0.03369         0   0.06822        31       416    0.7011    0.8605    0.8761    0.5741   0.03811   0.01469         0
    99/499     1.44G   0.03482   0.03367         0   0.06849        34       416    0.7022    0.8656    0.8788    0.5755   0.03806   0.01469         0
   100/499     1.44G    0.0346   0.03392         0   0.06853        28       416    0.7037    0.8656     0.879    0.5753   0.03802    0.0147         0
   101/499     1.44G   0.03486   0.03359         0   0.06846        35       416    0.7045    0.8656    0.8794    0.5746   0.03801    0.0147         0
   102/499     1.44G   0.03478   0.03363         0   0.06841        40       416    0.7015     0.863    0.8771    0.5748   0.03797   0.01469         0
   103/499     1.44G   0.03451   0.03353         0   0.06804        31       416    0.6947    0.8644     0.877    0.5729   0.03798   0.01468         0
   104/499     1.44G   0.03453   0.03327         0    0.0678        37       416    0.6953    0.8656    0.8768    0.5747   0.03794   0.01466         0
   105/499     1.44G   0.03452   0.03309         0   0.06761        32       416     0.694    0.8614    0.8765    0.5745    0.0379   0.01466         0
   106/499     1.44G   0.03461   0.03311         0   0.06772        32       416    0.6964    0.8605    0.8773     0.575   0.03788   0.01466         0
   107/499     1.44G   0.03435   0.03358         0   0.06792        40       416    0.6964    0.8654    0.8791     0.575   0.03788   0.01466         0
   108/499     1.44G   0.03424   0.03296         0   0.06721        31       416    0.6955     0.863    0.8793     0.575   0.03786   0.01467         0
   109/499     1.44G   0.03432   0.03366         0   0.06798        30       416    0.6891    0.8592    0.8766    0.5767   0.03785   0.01467         0
   110/499     1.44G   0.03384   0.03342         0   0.06725        36       416    0.6912    0.8579    0.8733    0.5766   0.03784   0.01466         0
   111/499     1.44G   0.03433   0.03355         0   0.06788        32       416    0.6912     0.863    0.8754    0.5763   0.03781   0.01466         0
   112/499     1.44G   0.03416   0.03372         0   0.06788        44       416    0.6896    0.8579    0.8734    0.5763   0.03779   0.01464         0
   113/499     1.44G   0.03386   0.03285         0   0.06671        33       416    0.6911    0.8613     0.874     0.577   0.03777   0.01463         0
   114/499     1.44G   0.03386   0.03311         0   0.06697        32       416    0.6938    0.8656    0.8764    0.5771   0.03772   0.01463         0
   115/499     1.44G   0.03368   0.03291         0    0.0666        36       416    0.6958    0.8656    0.8759    0.5774   0.03768   0.01461         0
   116/499     1.44G   0.03377   0.03286         0   0.06664        33       416    0.6994    0.8716    0.8782    0.5797   0.03766   0.01461         0
